                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7534,                  1.919,                 1.6822,                0.81728,                    0.5,                0.61777,                0.37181,                 2.5992,                 2.2551,                  2.517,             0.00010002,             0.00010002,             0.00010002
                      1,                 2.0885,                 2.0497,                 1.8899,                0.74116,                   0.75,                0.82536,                0.48079,                 1.6325,                 1.5539,                 1.6633,             0.00021599,             0.00021599,             0.00021599
                      2,                 1.7033,                 1.5204,                 1.4909,                0.74116,                   0.75,                0.82536,                0.48079,                 1.6325,                 1.5539,                 1.6633,              0.0003312,              0.0003312,              0.0003312
                      3,                 1.9997,                 2.3994,                  1.857,                0.35544,                      1,                0.67682,                0.25217,                 1.8631,                 3.3073,                 1.8871,             0.00044563,             0.00044563,             0.00044563
                      4,                 1.5874,                  1.877,                 1.5182,                0.35544,                      1,                0.67682,                0.25217,                 1.8631,                 3.3073,                 1.8871,              0.0005593,              0.0005593,              0.0005593
                      5,                 1.4168,                 1.7622,                 1.3586,                0.35544,                      1,                0.67682,                0.25217,                 1.8631,                 3.3073,                 1.8871,             0.00067219,             0.00067219,             0.00067219
                      6,                  1.669,                 1.7215,                 1.6294,                0.35544,                      1,                0.67682,                0.25217,                 1.8631,                 3.3073,                 1.8871,             0.00078432,             0.00078432,             0.00078432
                      7,                 1.7687,                 2.1884,                  1.564,                0.35544,                      1,                0.67682,                0.25217,                 1.8631,                 3.3073,                 1.8871,             0.00089567,             0.00089567,             0.00089567
                      8,                 1.3325,                 1.7113,                  1.241,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0010063,              0.0010063,              0.0010063
                      9,                 2.1352,                 2.7642,                 1.8915,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0011161,              0.0011161,              0.0011161
                     10,                 1.7407,                 3.8331,                 1.5666,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0012251,              0.0012251,              0.0012251
                     11,                 1.9489,                 3.3125,                 1.6332,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0013334,              0.0013334,              0.0013334
                     12,                 1.8492,                 3.3115,                 1.5081,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0014409,              0.0014409,              0.0014409
                     13,                 1.1501,                 4.3818,                 1.0996,                0.21557,                    0.5,                0.18905,                0.07377,                 1.9797,                 5.9796,                 1.7331,              0.0015476,              0.0015476,              0.0015476
