                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1597,                 3.4211,                 1.4095,                0.00351,                      1,                0.21987,                0.13202,                0.89396,                 3.6516,                  1.219,             0.00065657,             0.00065657,             0.00065657
                      2,                0.84005,                 2.8984,                 1.0882,                0.41237,                   0.65,                0.36176,                0.23343,                0.98378,                 2.9028,                 1.2384,              0.0013145,              0.0013145,              0.0013145
                      3,                0.86563,                 2.6006,                 1.0485,                0.44742,                   0.55,                0.43081,                0.19264,                 1.4104,                 4.7755,                 1.6524,              0.0019636,              0.0019636,              0.0019636
                      4,                 1.0578,                 2.3594,                 1.3074,                0.08353,                    0.4,                0.05218,                0.01877,                 1.4668,                 7.1919,                  2.206,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.0385,                  3.226,                 1.2398,                0.12576,                   0.15,                 0.0643,                0.01744,                 1.8714,                 8.2932,                 1.9693,              0.0019472,              0.0019472,              0.0019472
                      6,                 0.9954,                 3.0024,                 1.1199,                0.75477,                 0.4624,                0.59529,                0.33788,                  1.094,                 4.1385,                    1.4,               0.001934,               0.001934,               0.001934
                      7,                0.87938,                 2.2715,                 1.1044,                0.79443,                0.77355,                0.83212,                0.52605,                 1.0802,                 2.8487,                 1.4069,              0.0019208,              0.0019208,              0.0019208
                      8,                0.89084,                 2.8272,                 1.1358,                0.58485,                    0.8,                0.69328,                0.35515,                 1.4391,                 3.8028,                 2.7617,              0.0019076,              0.0019076,              0.0019076
                      9,                0.84188,                 2.1361,                 1.1542,                    0.7,                   0.35,                0.44236,                0.28907,                0.98001,                 15.335,                 1.7456,              0.0018944,              0.0018944,              0.0018944
                     10,                0.81676,                 2.4807,                 1.0657,                0.71267,                 0.8686,                0.89012,                0.66797,                0.91544,                 2.3188,                 1.3318,              0.0018812,              0.0018812,              0.0018812
                     11,                 0.8514,                 1.9215,                 1.1359,                0.76923,                    0.5,                0.63526,                0.46743,                0.89404,                 6.7881,                 1.2576,               0.001868,               0.001868,               0.001868
